occupancy,length_stay,month,openness,monthly_avg_occupancy,nightly_rate,monthly_rate,guests
0.0,4.749502715945883,7,30,0.39569542972408456,327.04738032354703,9811.42140970641,8
0.0,4.749502715945883,11,31,0.4113048915317965,327.04738032354703,9811.42140970641,8
0.0,4.749502715945883,8,31,0.3947702089398126,327.04738032354703,9811.42140970641,8
0.0,4.749502715945883,0,30,0.302981447302315,327.04738032354703,9811.42140970641,8
0.0,4.749502715945883,1,31,0.29308145186323187,327.04738032354703,9811.42140970641,8
0.0,4.749502715945883,2,30,0.31671274185983456,327.04738032354703,9811.42140970641,8
0.0,4.749502715945883,6,31,0.380212925989781,327.04738032354703,9811.42140970641,8
0.0,4.749502715945883,5,31,0.36797611979267164,327.04738032354703,9811.42140970641,8
0.0,4.749502715945883,3,30,0.32480760221484917,327.04738032354703,9811.42140970641,8
0.096774194,1.5,10,31,0.3412273734258343,429.9500122,12898.500366,6
0.0,4.749502715945883,4,31,0.3263502284471355,327.04738032354703,9811.42140970641,6
0.0,4.749502715945883,7,30,0.39569542972408456,327.04738032354703,9811.42140970641,6
0.0,4.749502715945883,11,31,0.4113048915317965,327.04738032354703,9811.42140970641,6
0.0,4.749502715945883,9,28,0.440423965025463,327.04738032354703,9811.42140970641,6
0.0,4.749502715945883,8,31,0.3947702089398126,327.04738032354703,9811.42140970641,6
0.0,4.749502715945883,0,30,0.302981447302315,327.04738032354703,9811.42140970641,6
0.0,4.749502715945883,1,31,0.29308145186323187,327.04738032354703,9811.42140970641,6
0.0,4.749502715945883,2,30,0.31671274185983456,327.04738032354703,9811.42140970641,6
0.0,4.749502715945883,6,31,0.380212925989781,327.04738032354703,9811.42140970641,6
0.0,4.749502715945883,5,31,0.36797611979267164,327.04738032354703,9811.42140970641,6
0.0,4.749502715945883,3,30,0.32480760221484917,327.04738032354703,9811.42140970641,6
0.0,4.749502715945883,4,31,0.3263502284471355,327.04738032354703,9811.42140970641,8
0.0,4.749502715945883,7,30,0.39569542972408456,327.04738032354703,9811.42140970641,8
0.0,4.749502715945883,11,31,0.4113048915317965,327.04738032354703,9811.42140970641,8
0.0,4.749502715945883,8,31,0.3947702089398126,327.04738032354703,9811.42140970641,8
0.0,4.749502715945883,0,30,0.302981447302315,327.04738032354703,9811.42140970641,8
0.0,4.749502715945883,1,31,0.29308145186323187,327.04738032354703,9811.42140970641,8
0.0,4.749502715945883,2,30,0.31671274185983456,327.04738032354703,9811.42140970641,8
0.0,4.749502715945883,6,31,0.380212925989781,327.04738032354703,9811.42140970641,8
0.0,4.749502715945883,5,31,0.36797611979267164,327.04738032354703,9811.42140970641,8
0.0,4.749502715945883,3,30,0.32480760221484917,327.04738032354703,9811.42140970641,8
0.0,4.749502715945883,4,31,0.3263502284471355,327.04738032354703,9811.42140970641,8
0.0,4.749502715945883,7,30,0.39569542972408456,327.04738032354703,9811.42140970641,8
0.0,4.749502715945883,11,31,0.4113048915317965,327.04738032354703,9811.42140970641,8
0.0,4.749502715945883,0,30,0.302981447302315,327.04738032354703,9811.42140970641,8
0.0,4.749502715945883,1,31,0.29308145186323187,327.04738032354703,9811.42140970641,8
0.0,4.749502715945883,2,30,0.31671274185983456,327.04738032354703,9811.42140970641,8
0.0,4.749502715945883,6,31,0.380212925989781,327.04738032354703,9811.42140970641,8
0.0,4.749502715945883,5,31,0.36797611979267164,327.04738032354703,9811.42140970641,8
0.0,4.749502715945883,3,30,0.32480760221484917,327.04738032354703,9811.42140970641,8
0.4,1.333333333,10,30,0.3412273734258343,281.7149963,8451.449889,6
0.0,4.749502715945883,4,31,0.3263502284471355,327.04738032354703,9811.42140970641,6
0.0,4.749502715945883,7,30,0.39569542972408456,327.04738032354703,9811.42140970641,6
0.0,4.749502715945883,11,31,0.4113048915317965,327.04738032354703,9811.42140970641,6
0.0,4.749502715945883,0,30,0.302981447302315,327.04738032354703,9811.42140970641,6
0.0,4.749502715945883,1,31,0.29308145186323187,327.04738032354703,9811.42140970641,6
0.0,4.749502715945883,2,30,0.31671274185983456,327.04738032354703,9811.42140970641,6
0.0,4.749502715945883,6,31,0.380212925989781,327.04738032354703,9811.42140970641,6
0.0,4.749502715945883,5,31,0.36797611979267164,327.04738032354703,9811.42140970641,6
0.0,4.749502715945883,3,30,0.32480760221484917,327.04738032354703,9811.42140970641,6
1.0,4.749502715945883,4,9,0.3263502284471355,284.72779,8541.833700000001,9
1.0,4.749502715945883,0,30,0.302981447302315,280.9500122,8428.500366,9
1.0,4.749502715945883,1,31,0.29308145186323187,288.0467864,8641.403591999999,9
1.0,4.749502715945883,2,30,0.31671274185983456,280.9500122,8428.500366,9
1.0,4.749502715945883,6,31,0.380212925989781,354.7548493,10642.645478999999,9
1.0,4.749502715945883,5,31,0.36797611979267164,350.5945277,10517.835831,9
1.0,4.749502715945883,3,30,0.32480760221484917,294.1493449,8824.480347,9
0.322580645,5.0,10,31,0.3412273734258343,303.2609924,9097.829772000001,6
0.0,4.749502715945883,4,31,0.3263502284471355,327.04738032354703,9811.42140970641,6
0.0,4.749502715945883,7,30,0.39569542972408456,327.04738032354703,9811.42140970641,6
0.0,4.749502715945883,11,31,0.4113048915317965,327.04738032354703,9811.42140970641,6
0.0,4.749502715945883,0,30,0.302981447302315,327.04738032354703,9811.42140970641,6
0.0,4.749502715945883,1,31,0.29308145186323187,327.04738032354703,9811.42140970641,6
0.0,4.749502715945883,2,30,0.31671274185983456,327.04738032354703,9811.42140970641,6
0.0,4.749502715945883,6,31,0.380212925989781,327.04738032354703,9811.42140970641,6
0.0,4.749502715945883,5,31,0.36797611979267164,327.04738032354703,9811.42140970641,6
0.0,4.749502715945883,3,30,0.32480760221484917,327.04738032354703,9811.42140970641,6
0.290322581,1.5,10,31,0.3412273734258343,279.0711093,8372.133279,6
0.0,4.749502715945883,4,31,0.3263502284471355,327.04738032354703,9811.42140970641,6
0.0,4.749502715945883,7,30,0.39569542972408456,327.04738032354703,9811.42140970641,6
0.0,4.749502715945883,11,31,0.4113048915317965,327.04738032354703,9811.42140970641,6
0.142857143,2.0,9,28,0.440423965025463,316.4599915,9493.799745,6
